  S/n,Bug_ID,Bug title,Bug Description,Step to reproduce,Actual Result,Expected Result,Status,Severity,Screenshots
1,BD_001,Extra Fields on Create Account Page Not in Figma Design,"The ""Create Account"" page on the website includes several form elements that are not present in the approved Figma design. These extra fields create a mismatch between the implemented UI and the design specification. The additional elements include role selection (contestant or producer), age confirmation (""Are you 18 or older?""), a guardian confirmation prompt, and a password field—all of which are missing from the Figma mockup.","1. Open the website
2. Click on ""Create Account"" button
2. Open the corresponding Figma design
3. Compare all fields and elements side-by-side","The website includes additional fields and options that are not present in the Figma design.
     Unexpected Fields Identified:
1. Select option to create account as contestant or producer
2. “Are you 18 or older?” selection (Yes/No)
3. Confirmation question – “Are you creating this account as the parent/legal guardian for a contestant(s) under the age of 18?”
4. Password Field (not shown in the Figma mockup)","The ""Create Account"" page on the website should match the Figma design exactly in layout, fields, and text content.",Open,Medium,
,BD_002,Homepage Not Accessible After Incomplete Registration — URL Loads Last Registration Step,"When a user starts the registration process but exits before completion, re-entering the main website URL in the browser does not load the home page. Instead, it resumes from the last incomplete registration step, which may confuse users who intend to start over or access general information.","1. Start the registration process on the website.
2. Exit the process midway (e.g., by closing the tab or browser).
3. Reopen the browser and manually enter the website’s base URL.
4. Observe the page that loads.","- System automatically resumes the registration process from where the user left off.
- User is not directed to the home page, even when explicitly entering the base URL.","- User should be redirected to the home page when entering the base URL.
- Any incomplete registration session should not automatically resume without user intent.",Open,Low,
2,BD_003,First Name and Last Name Fields Accept Numeric and Special Character Inputs Without Validation,"The system allows users to register using numeric characters (e.g., ""123456"") and special characters (e.g., ""@#%&"") in the First Name and Last Name fields. This violates basic input validation standards for name fields, which are expected to accept only alphabetical characters.","1. Open the website
2. Click on the create account button.
2. In the ""First Name"" field, enter: 1234567890
3. In the ""Last Name"" field, enter: @#%&
4. Click on ""Continue"" button.

",The user is able to register successfully with numeric and special characters in both the First Name and Last Name fields. No validation error is shown.,The system should trigger an error message such as “Only letters are allowed” and prevent form submission when numeric or special characters are entered in the name fields.,Open,Medium,
3,BD_004,System Allows Registration with Single-Letter in First and Last Names,"The registration form permits users to register using only a single character in both the First Name and Last Name fields (e.g., ""A"" and ""B""). This violates typical form validation standards that require a minimum of 2 characters for name fields. Allowing single-letter names can result in poor data quality and may affect downstream systems relying on user details.","1. Open the website
2. Click on the create account button.
2. In the ""First Name"" field, enter: A
3. In the ""Last Name"" field, enter: B
4. Complete the remaining fields and Click on ""Continue"" button.

",The system accepts the form and successfully registers the user with single-letter names.,The system should display a validation error such as “First and Last names must be at least 2 characters long” and prevent registration.,Open,Low,
4,BD_005,Email Field Does Not Display Validation Error for Invalid Format,"When a user enters an email address with an invalid format (e.g., ""test@com"") in the email field during registration, the system does not provide a specific validation message indicating the format issue. Instead, it returns a generic error message: “Failed to create user.” This is misleading and does not guide the user to correct their input, leading to a poor user experience and potential form abandonment","1. Navigate to the user registration page.
2. In the Email field, enter an invalid format like test@com
3. Fill out the remaining required fields with valid data.
4. Click on the ""Continue"" button","The system fails to validate the email format. Instead of a helpful validation message, it returns a generic error: ""Failed to create user.""",The system should show a validation error such as “Please enter a valid email address” and block form submission.,Open,Medium,
5,BD_006,Password Field Does Not Enforce Minimum and Maximum Length Requirements,"The password input field on the ""Create Account"" page fails to enforce both the minimum and maximum length requirements. Users are able to enter passwords that are shorter than the expected minimum (e.g., ""Ab1"", ""1"", ""a"") without receiving any validation message. This weakens password security standards and can lead to poor user account protection.","1. Navigate to the user registration page.
2. In the password field, enter a short password like ""Ab1"", ""1"", ""a""
3. Fill out the remaining required fields with valid data.
4. Click on the ""Continue"" button",No validation message is displayed. The form accepts short passwords and allows account creation with invalid-length passwords.,"The system should display a validation error such as ""Password must be at least 8 characters"" or ""Password must be between 8 and 20 characters"", and prevent form submission.",Open,High,
6,BD_007,"Password Field Accepts Weak Passwords with Only Alphabets, Numbers, or Special Characters","The password field accepts passwords that consist only of alphabets (e.g., ""abcdef""), only numbers (e.g., ""12345678""), or only special characters (e.g., ""@#$%^&*""). There is no validation to enforce a strong password policy requiring a combination of uppercase and lowercase letters, numbers, and special characters. This significantly reduces password strength and compromises user account security.","1. Navigate to the ""Create Account"" page.
2. In the password field, enter one of the following:
    - abcdef (only alphabets)
   - 12345678 (only numbers)
   - @#$%^&* (only special characters)
3. Complete the remaining required fields with valid data.
4. Click on the ""Continue"" button.

","The form accepts passwords that are composed solely of alphabets, numbers, or special characters without any validation or warning.","The system should display a validation error such as:
""Password must include a mix of letters, numbers, and special characters.""
Form submission should be blocked until a strong password is provided.",Open,High,
7,BD_008,Password Field Does Not Display Hint or Guidelines for Password Requirements,"When a user focuses on or hovers over the password input field on the ""Create Account"" page, no tooltip, placeholder, or helper text is shown to guide users on the required password format. This can cause users to create weak passwords or face repeated form submission failures without knowing the password rules, resulting in frustration and poor user experience.","1. Navigate to the ""Create Account"" page.
2. Locate the password field.
3. Hover over or click (focus) on the field.","No password hint, tooltip, or guideline is displayed. Users are left unaware of the expected password format.","A password guideline should appear (e.g., “Password must be 8–20 characters and include letters, numbers, and special characters”).",Open,Medium,
8,BD_009,Password Visibility Toggle (Eye Icon) is Missing from Password Field,"The ""Create Account"" page does not include a password visibility toggle (eye icon) next to the password input field. This feature is standard in modern web forms, allowing users to view or hide their typed password for accuracy. Its absence may lead to input errors, especially on mobile devices or when using complex passwords, negatively affecting usability and accessibility.","1. Navigate to the ""Create Account"" page.
2. Locate the password field.
3. Look for an eye icon next to the password field.
",There is no eye icon or visibility toggle available. Users cannot view their password while typing.,"An eye icon should be present. When clicked:
- It should reveal the password text (change input type to text).
- Clicking again should mask the password (change input type back to password).

",Open,Low,
9,BD_010,Phone Number Field Accepts Alphabetic and Special Characters Without Validation,"The phone number field on the ""Create Account"" page fails to enforce proper numeric validation. It currently allows users to input alphabetic characters (e.g., ""abcde"") and special characters (e.g., ""@#%"") without triggering any validation error. This can lead to invalid phone number submissions, disrupting contact functionality and backend data integrity.","1. Navigate to the ""Create Account"" page.
2. Locate the phone number input field.
3. Enter alphabetic characters such as abcde.
4. Alternatively, enter special characters like @#%.
5. Click on the ""Continue"" button",The system accepts the form with alphabetic and special characters in the phone number field without any validation feedback.,"The system should:
- Display a validation error (e.g., “Phone number must contain only numbers”).
- Prevent form submission with non-numeric input.
",Open,Medium,
